Matrix size,Numpy time (s),Our time (s), No copy (s), Multithreaded (s)
2048x512,0.012407779693603516,0.010141849517822266,0.011516809463500977,0.006217002868652344
2048x1024,0.032338857650756836,0.021537065505981445,0.019929885864257812,0.008423089981079102
2048x2048,0.0635840892791748,0.04664301872253418,0.041661977767944336,0.013177871704101562
4096x1024,0.06672096252441406,0.04589700698852539,0.04125022888183594,0.017913103103637695
4096x2048,0.136383056640625,0.0966939926147461,0.08962106704711914,0.03072977066040039
4096x4096,0.28162288665771484,0.2117457389831543,0.18038296699523926,0.057714223861694336
8192x2048,0.27837204933166504,0.19937610626220703,0.18587756156921387,0.07073783874511719
8192x4096,0.555994987487793,0.44373488426208496,0.3706471920013428,0.1323246955871582
8192x8192,1.5296831130981445,1.006458997726440,0.9062938690185547,0.3317990303039551
